0,2.53773,43.2644,0,11:48:29.323
0.00869147,1.81389,43.2646,43,11:48:30.348
-0.00670879,-0.623703,43.2643,43,11:48:31.357
-0.00561467,-0.288963,43.2644,43,11:48:32.325
-0.00103413,0.67234,43.2644,43,11:48:33.316
-0.00276308,0.274658,43.2644,43,11:48:34.314
-0.0180232,3.1786,43.2644,43,11:48:36.931
-0.0226593,4.00543,43.2644,43,11:48:37.933
-0.0312136,-5.52177,43.2644,43,11:48:38.930
-0.0110523,-5.63908,43.2645,43,11:48:39.935
-0.0181058,-4.73499,43.2646,43,11:48:40.928
-0.00435877,2.88391,43.2645,44,11:48:41.933
-0.0156019,-0.749588,43.2643,44,11:48:42.946
-0.0110523,0.0114441,43.2644,44,11:48:43.931
-0.0295161,-7.42149,43.2646,44,11:48:44.933
0.0301278,-0.781059,43.2644,44,11:48:45.939
0.579577,-2.0113,43.2688,44,11:48:46.937
0.605322,0.0286102,43.2688,44,11:48:47.935
0.476666,498.136,44.516,44,11:48:48.910
0.662403,961.023,60.178,44,11:48:49.931
0.720873,1006.69,76.7793,44,11:48:50.935
0.0990794,983.076,93.3553,44,11:48:51.936
0.199384,966.385,109.856,44,11:48:52.934
-0.0327006,6.15406,112.947,44,11:48:53.940
-0.0629012,0.0886917,112.947,44,11:48:54.936
0.015775,-0.228882,112.947,44,11:48:55.952
0.027675,1.87111,112.947,44,11:48:56.915
0.0407002,-0.117302,112.947,44,11:48:57.937
0.619704,17.3693,112.955,44,11:48:58.940
0.580979,7.57027,112.957,44,11:48:59.917
0.027915,119.03,114.481,44,11:49:00.934
0.574476,100.943,116.08,44,11:49:01.933
0.529042,93.996,117.673,44,11:49:02.935
0.56697,99.6895,119.282,44,11:49:03.935
-0.0169532,1.81389,120.264,44,11:49:04.934
-0.0291109,-1.97697,120.264,44,11:49:05.939
-0.0177557,0.19455,120.264,44,11:49:06.928
-0.0176239,-0.712395,120.264,44,11:49:07.935
